time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010507349642	120.713	12.2679	1.76643	0.140055	0.124777	radar	6.94911e-308	120.934	12.1905	120.743	12.3289	2.21139	0.128528
1477010508349642	123.527	12.8235	3.04591	0.257361	0.118333	lidar	2.18175	123.568	12.8297	122.95	12.5114	2.29835	0.246599
1477010508349642	123.527	12.8235	3.04591	0.257361	0.118333	radar	6.94911e-308	123.142	12.7694	122.95	12.5114	2.29835	0.246599
1477010509349642	124.945	12.8094	1.23141	0.18217	0.00685473	lidar	4.74794	124.894	12.7743	125.242	12.8125	2.37624	0.369827
1477010509349642	124.945	12.8094	1.23141	0.18217	0.00685473	radar	6.94911e-308	125.376	12.9964	125.242	12.8125	2.37624	0.369827
1477010510349642	127.793	13.3197	3.11026	0.162922	-0.00518489	lidar	4.70969	127.853	13.3273	127.609	13.2365	2.44434	0.495787
1477010510349642	127.793	13.3197	3.11026	0.162922	-0.00518489	radar	6.94911e-308	127.506	13.153	127.609	13.2365	2.44434	0.495787
1477010511349642	129.975	13.7005	2.25445	0.166967	-0.000114286	lidar	0.981634	129.947	13.6963	130.042	13.7853	2.50232	0.621879
1477010511349642	129.975	13.7005	2.25445	0.166967	-0.000114286	radar	6.94911e-308	130.334	13.781	130.042	13.7853	2.50232	0.621879
1477010512349642	132.097	14.472	2.27275	0.387318	0.13993	lidar	0.700448	132.092	14.507	132.53	14.458	2.55028	0.74543
1477010512349642	132.097	14.472	2.27275	0.387318	0.13993	radar	6.94911e-308	132.447	14.3423	132.53	14.458	2.55028	0.74543
1477010513349642	135.029	15.0814	3.0383	0.134306	-0.0928641	lidar	2.55324	135.074	15.0475	135.066	15.2513	2.58865	0.863795
1477010513349642	135.029	15.0814	3.0383	0.134306	-0.0928641	radar	6.94911e-308	135.127	14.6575	135.066	15.2513	2.58865	0.863795
1477010514349642	137.574	16.1789	2.69962	0.409566	0.125165	lidar	1.65187	137.561	16.2147	137.639	16.1592	2.61821	0.974442
1477010514349642	137.574	16.1789	2.69962	0.409566	0.125165	radar	6.94911e-308	137.653	16.5145	137.639	16.1592	2.61821	0.974442
1477010515349642	140.312	17.032	2.90769	0.308786	-0.0186493	lidar	0.746773	140.331	17.008	140.242	17.1733	2.63994	1.07503
1477010515349642	140.312	17.032	2.90769	0.308786	-0.0186493	radar	6.94911e-308	140.305	17.5379	140.242	17.1733	2.63994	1.07503
1477010516349642	142.894	17.9856	2.80907	0.356278	0.0216584	lidar	0.0666825	142.888	17.9918	142.868	18.2829	2.65497	1.16346
1477010516349642	142.894	17.9856	2.80907	0.356278	0.0216584	radar	6.94911e-308	142.626	18.1458	142.868	18.2829	2.65497	1.16346
1477010517349642	145.396	19.1514	2.81801	0.464115	0.0756114	lidar	0.0979081	145.392	19.1617	145.51	19.4754	2.66445	1.23795
1477010517349642	145.396	19.1514	2.81801	0.464115	0.0756114	radar	6.94911e-308	145.789	19.3785	145.51	19.4754	2.66445	1.23795
1477010518349642	148.234	20.4782	3.23388	0.45134	0.0206102	lidar	0.331132	148.251	20.4754	148.163	20.7364	2.66951	1.29702
1477010518349642	148.234	20.4782	3.23388	0.45134	0.0206102	radar	6.94911e-308	148.146	20.9376	148.163	20.7364	2.66951	1.29702
1477010519349642	150.7	22.1042	2.98338	0.61501	0.1094	lidar	0.339285	150.686	22.1142	150.825	22.0502	2.67111	1.33953
1477010519349642	150.7	22.1042	2.98338	0.61501	0.1094	radar	6.94911e-308	150.649	21.8148	150.825	22.0502	2.67111	1.33953
1477010520349642	153.401	23.5134	3.05842	0.480465	-0.0465508	lidar	0.82484	153.422	23.4909	153.491	23.3999	2.66999	1.3647
1477010520349642	153.401	23.5134	3.05842	0.480465	-0.0465508	radar	6.94911e-308	153.466	22.9115	153.491	23.3999	2.66999	1.3647
1477010521349642	156.048	24.8094	3.0078	0.432243	-0.0477307	lidar	0.00345866	156.047	24.8084	156.159	24.7682	2.66666	1.37208
1477010521349642	156.048	24.8094	3.0078	0.432243	-0.0477307	radar	6.94911e-308	156.009	25.0678	156.159	24.7682	2.66666	1.37208
1477010522349642	158.899	26.029	3.18424	0.379396	-0.0509684	lidar	0.0418735	158.905	26.0308	158.827	26.1372	2.66127	1.36157
1477010522349642	158.899	26.029	3.18424	0.379396	-0.0509684	radar	6.94911e-308	159.014	26.1903	158.827	26.1372	2.66127	1.36157
1477010523349642	161.427	27.4107	2.89197	0.498782	0.0564186	lidar	0.492668	161.412	27.4256	161.493	27.4891	2.65371	1.33344
1477010523349642	161.427	27.4107	2.89197	0.498782	0.0564186	radar	6.94911e-308	161.529	27.8454	161.493	27.4891	2.65371	1.33344
1477010524349642	163.634	28.7696	2.62163	0.583308	0.0746265	lidar	0.108408	163.625	28.7683	164.155	28.8064	2.64354	1.28825
1477010524349642	163.634	28.7696	2.62163	0.583308	0.0746265	radar	6.94911e-308	164.116	29.315	164.155	28.8064	2.64354	1.28825
